perturbation,k,trial,start,group_change_rate,pair_preservation,d_skill_imbalance,d_experience_imbalance,d_diversity_imbalance,d_preference_satisfaction
remove,3,2,warm,0.3684210526315789,0.9010025062656641,0.0019129863111111115,0.05733333333333332,0.0275438596491228,0.04054054054054057
remove,3,3,cold,0.5789473684210527,0.8709273182957393,0.00035975176111111137,0.0674333333333334,0.027105263157894743,0.01388888888888884
remove,3,3,warm,0.38596491228070173,0.9060150375939849,0.0019523334499999987,0.08226666666666665,0.03228070175438599,0.04166666666666663
remove,3,4,cold,0.631578947368421,0.8596491228070176,0.0009301166833333326,0.0028444444444445105,0.0049999999999999906,0.006329113924050667
remove,3,4,warm,0.2631578947368421,0.9273182957393483,0.0020003458416666658,0.13623333333333337,0.013771929824561394,-0.01898734177215189
remove,6,0,cold,0.5925925925925926,0.8504542278127184,0.001255983813443073,0.14669410150891637,0.003230452674897119,0.007246376811594235
remove,6,0,warm,0.4444444444444444,0.8853948287910552,1.5255418381344369e-05,0.023237311385459564,0.021748971193415623,0.036231884057971064
remove,6,1,cold,0.6481481481481481,0.8476589797344515,0.001338492729766804,-0.015857338820301756,0.004259259259259254,-0.00724637681159418
remove,6,1,warm,0.42592592592592593,0.8881900768693222,0.0003625776063100124,0.002661179698216748,0.003230452674897119,0.036231884057971064
remove,6,2,cold,0.6481481481481481,0.8462613556953179,0.0005325800068587102,0.045185185185185245,0.046440329218106965,0.07971014492753625
remove,6,2,warm,0.3888888888888889,0.8979734451432565,0.0002892158093278454,-0.04123456790123453,0.03203703703703703,0.036231884057971064
remove,6,3,cold,0.5,0.8742138364779874,0.0012811371056241426,0.017064471879286724,0.03718106995884772,0.09999999999999998
remove,6,3,warm,0.37037037037037035,0.9021663172606569,0.0005221509945130313,0.10348422496570645,0.006316872427983525,0.007692307692307665
remove,6,4,cold,0.6296296296296297,0.8476589797344515,7.0238271604938e-05,0.04518518518518522,0.028950617283950597,0.06716417910447758
remove,6,4,warm,0.4074074074074074,0.8895877009084556,0.0010953648148148147,-0.010370370370370308,0.022777777777777772,0.09701492537313428
add,1,0,cold,0.7,0.8468926553672317,0.0015467616553287975,0.13287981859410436,0.03943793911007028,0.04761904761904767
add,1,0,warm,0.0,1.0,1.3987582199545979e-05,0.007074829931972809,0.008329430132708829,0.0
add,1,1,cold,0.6333333333333333,0.8638418079096045,0.0034524598398526056,-0.03442176870748298,0.02891881342701015,0.0
add,1,1,warm,0.06666666666666667,0.9774011299435028,0.00032121271400226657,-0.0328514739229025,0.00788056206088994,0.0
add,1,2,cold,0.5,0.8751412429378531,0.001359928757086168,0.08607709750566894,0.009168618266978915,0.0357142857142857
add,1,2,warm,0.05,0.9824858757062147,0.0001371487896825391,-0.015391156462585029,-0.00035519125683060315,0.0
add,1,3,cold,0.6,0.8581920903954803,0.0010211740362811783,0.038395691609977356,0.02113192818110851,0.0357142857142857
add,1,3,warm,0.0,1.0,1.794244614512384e-05,0.0011564625850340182,0.006280249804840002,0.0
add,1,4,cold,0.5333333333333333,0.8740112994350282,-0.0003586664285714291,0.05160997732426309,0.026049960967993765,0.011904761904761862
add,1,4,warm,0.0,1.0,0.00024312472505668868,0.0054421768707483276,0.008329430132708829,0.0
add,3,0,cold,0.5333333333333333,0.8717514124293785,0.0013691957213718825,0.016468253968253993,0.002142857142857141,0.046511627906976716
add,3,0,warm,0.06666666666666667,0.9768361581920904,-7.750839569160991e-05,0.050725623582766444,0.010873015873015868,0.0
add,3,1,cold,0.5666666666666667,0.8677966101694915,0.0004207463364512454,0.006876417233560139,0.015634920634920627,-0.011627906976744207
